﻿id,Tweet,Dialect
779,"""بسم الله نبدا ثريد نذكر فيه بعض المعلومات الطبيه ساحاول توضيح بعض المفاهيم الخاطءه حول بعض الامراضالمشاكل الصحيه و تاكيد الصحيح منها و احاول تبسيط بعض الافكار لعل الفاءده تعم علي الجميع ستكون جميع المعلومات في ثريد واحد و سافصل بين المواضيع اللي عندو افكار اكيد يحكيني""",Lebanese
780,"""رخيصه وموجهه لكل الطبقات مواصلات عامه غير هيك اماكن المشاه اللي هيي جزء من تخطيط النقل المستدام اهتمام بالاماكن السياحيه والحفاظ عالتراث بحيث مطرح ما بتمشي عندك شي عندو قيمه سياحيه كل هالاشيا بيعملوا من المدينه كل شي فيها بيتنفس وبشد العالم الواجهاتارصفهاكل""",Lebanese
781,"""تاني شي هيفا انسانه متل اي انسان عندها حياتها الخاصه وانشغالاتها ومرقت بفتره مرضت فيها واخدت بريك وكلنا عارفين انها عم تحضرلنا لاشيا حلوه وفيلم ومفاجاه وما بتقصر ابدا وبتشتغل متل النحله فبيكفي نق من واحد متلو جاي ما عندو الا ينق وينتقد بالنهايه كلنا عنا اعصاب ومنفقدها ومنعصب""",Lebanese
782,"""حتي الفان حبيبي الو حدود ولازم ما يتخطاها وهيدا الفان منو فان حقيقي وعالاغلب فايك اكاونت لانو كل لي عندو فولورز وما بعرفو ولا شايفتو بعمري هون وانا الي سنين بعرف الكل البنت عم تتعب كل الوقت كرمالنا ليجي واحد يقلها ما عجبني ومدري شو ويتزل نق عليهاا يتبع""",Lebanese
783,"""لا والله ما بيعك لرميك بلاش الا ما تلاقي عندو شي ببلاش""",Lebanese
784,"""الياس ما عندو شي يقدموا غير الفشل""",Lebanese
785,"""وشت اوعا تدعي العفه يا ملوك الاستسلام دخلك بعدها عبايه حزب الله اللي لبسها ل امين الجميل عندو""",Lebanese
786,"""واءل كفوري صار عندو ذباب الكتروني""",Lebanese
787,"""طيب ما قلت للست الوالده انو كلهم ورتوا ولادهم الارضيات والغنمات حتي الجنرال ما عندو صبي ورت جبران""",Lebanese
788,"""اي حبيبي هيك ناوي اعمل ان شاء الله بس كنت بدي شوف اذا مهتمين الناس لنبلش المساء او الصبح ان شاء الله و اذا حدا عندو موضوع او فكره مش واضحه او بحب اشرحها و حط معلومات عنها انا بالخدمه""",Lebanese
789,"""اغاني نوال اخر فتره كتير حلوين بس ما بعرف ليه ما عم يوصلو عم يمرءو عادي صوت نوال صاير صريخ ومش حلو وحدث ولا حرج عن الكليبات يلي كلا بتشبه بعضا وكمان التكلف الزايد بالشعر والمايكب والازياء الكثيره متل يلي بيلبس كل الخزانه تيقول انو عندو تياب""",Lebanese
790,"""اذا بدنا ننطر القدير بتروح للاخره خلينا نحنا ناخد اجر عندو بفقء اعين الهدامين""",Lebanese
791,"""سءال عندو اكتر من جواب""",Lebanese
792,"""صباح الخير والنور عموره الشعب كلو محبط في هزيان ما بقا عندو منطق الا الحقد والكراهيه بي سبب الفقر والجهل والا ستزلام المطلق لي فربق دمر البلد من تحت لا فوق""",Lebanese
793,"""وحساله وحدك احترم حالك وتا يحترمك الناس كل واحد ضد منهجكون وحكمكون للبلدالمنطق عندكن الشتيمه والمسبات مرحبا وطن عندو ناس بدون كب بل الزباله احترام راي الا خر هو احترام للذات ليمونه معفني ضاربه راسكن هيك تيار ييمشي عل عنيانه ما بي شوف الغلط وللصح ولا بكون وطني""",Lebanese
794,"""اخر وحده ممكن تمون مضبوطه لان الزلمه عندو ولاد اما الباقيين وخصوصا ما قبل الاخيره مش مضبوطين""",Lebanese
795,"""الاستقرار مدمر مدمر و العقوبات جاي جاي و الحريري عندو حل من تنين بيستقيل هلق و بيخرب البلد او يضل و يخرب البلد بين ايديه شايف حل تالت يمكن شايف انو العهد ادمي و الحزب ناطر يسلم سلاحه الميليشيوي للدوله و الحكومه شغاله نار انا شايف غير هيك""",Lebanese
796,"""الحجه ذاتها ولا شي لانو ما حدا عندو شي وشغله اخيره بقللك ياها ما حدا رح يقدر يكرهنا بفخامه الرءيس ولا يشيوه صورتو فما تعبوا حالكون""",Lebanese
797,"""بلديه بيروت تقتلع اشجار حديقه المفتي حسن خالد في بيروت لتحويلها الي مراب للسيارات في حدا بكون عندو حديقه واشجار بيحط باطونالعالم عم تزرع ونحن عم نهدم ونشحل اشجار ومنها اشجار معمره شي بوجع""",Lebanese
798,"""ست فيرا ما رح سامحك اذا ما زرتي اخونا ابو الفضل شومان واكلتي عندو كبه نيه اطيب من يلي عندكم بزغرتا جربي ما بتخسري""",Lebanese
799,"""شو رايك بهالجمله لو غير مرحب بالرءيس في الجبل نرفض تعليقها ولا نعمد علي تمزيقها ليلا كيف بتقري هالجمله غير انو سمحنا لرءيس الجمهوريه يزور المنطقه فخامه الرءيس جاي ع بيتو مش ضيف وبوجود فخامتو بكون الكل ضيوف عندو مش العكس هون لازم نرتقي شوي ونفهم انو كم لكل لبناني""",Lebanese
800,"""بالنسبه يللي عندو جبل متلنا""",Lebanese
801,"""بليز اذا حدا عندو المام بالسوشيل ميديا وبشكل خاص الفيسبوك يحكيني اينبوكس ضروري لان تم قرصنه صفحتي الرسميه ومش عم بقدر فوت او حتي غير اي شي فيها وشكرا""",Lebanese
802,"""معك حق عندي رفيق كمان هيك عمل نفس الشي مع بسين شافو بالطريق وبعدو لهلق عندو""",Lebanese
803,"""عندو معرض سيارات ويتلذذ بتعذيب الكلبما بتقدر الست تاخدو عندها بسينتان ومن شهر جارها كان عندو بسينه بس مسافر ع طول اخدتها منو وعطيتني ياها اخدتها وعملت اللازم ودبرتلها محب بس ما بيقدر يطعميها نفس نوع الاكل يلي متعوده عليهوانت عارف قصتي يلا صرت واصل عند عنتر ه""",Lebanese
804,"""اللي بيقول عندو مستندات وهو بالسلطه لازم يطالب القضاء واذا ما تحرك القضاء لازم يخبرنا انو القضاء ما عم يقوم بدوره""",Lebanese
805,"""شو بكن يا عمي هيدا السنيوره مو حيله ولي عقامتي شو مهضوم الله وحدو اعلم قديس انا بحبو الله وكيلكم بحبو كره العمي قولكم هو عندو يقين ان الله موجود وبدو يجي يوم يتحاسب""",Lebanese
806,"""بس حب حدا رح اقبل فيه حتي لو كان عندو ڤيلا فيها جنينه وحده بس القناعهكنز""",Lebanese
807,"""لسانك زفر و مستواكي خرا مش هيك بيحكي يلي عندو حجه يقنع فيها جبتيني لاختك و امك بدك كفي معك بالكلام و عم توصفيني بالجبان كنتي بتتمني كون بقصد يلي فهمتي من نوايا عاطله عيب الشوم عنجد""",Lebanese
808,"""بدي قهوه و عيونك قدامي""",Lebanese
809,"""تصوري ميرا كل ما بدي اعمل معاملي بدي اطلع عبيت الدين من بيروت خاصه اذا مستعجل عليها هلق صحيح مشوار حلو بس بالشتي مثلا بهدله منيح عندي شخص بحضرلي كل شي قبل ما اطلع""",Lebanese
810,"""بدي رساله متلو كمان""",Lebanese
811,"""بدي بنت تتناك من طيزها انا ببيروت""",Lebanese
812,"""هلق سامي الجميل بيلعب مع نديم او كمان ما خصك وين بدي العب""",Lebanese
813,"""بدي كبلز من بيروت""",Lebanese
814,"""ازا مستواك بهل قرف كيف بدي احكي معك يا زباله هيفاء هيك بتعلمك تحكي""",Lebanese
815,"""بدي زوجين متحررين""",Lebanese
816,"""بس بلبس ضحكتي والفرحه بتلبقلي فليكن ما يكون بدي كون""",Lebanese
817,"""طب ازا عم تقليلي طقي موتي كيف بعد بدي ناقشك انت كمان ناقصني ولاد""",Lebanese
818,"""بدي انيكها""",Lebanese
819,"""بدي انيكهم""",Lebanese
820,"""بدي انيك هالطيز""",Lebanese
821,"""بدي انيكك وزوجك يصورنا""",Lebanese
822,"""بدي بدويه انيكها""",Lebanese
823,"""كتير بحب غني موال الليالي ل نوال الزغبي بس ما فيني صوتي شو بدي اعمل الحل بغني خلص كدهباي""",Lebanese
824,"""بدي كلبات وخدامات ببيروت""",Lebanese
825,"""بدي انيك طيزك""",Lebanese
826,"""خلاص متل ما بدك شو بدي قلك""",Lebanese
827,"""ولك كتار شو بدي احفظ مثلا اوسامه عمر رنا بايوده وانتي وكتار""",Lebanese
828,"""منين بدي جيب وقت طيب كنت عم تابع ومش شايفه غيره وبعدني لهلا عايشه بماضي المسلسل""",Lebanese
829,"""بدي حطا بتم معلمك و بتمك طهرلك نيعك و نيعو يا بلا اخلاق و بقشرا لينضفوا سنانكن الصفر حاج تسبوا العالم ليل نهار يا اوسخ من الوسخ حزبالوسخ""",Lebanese
830,"""بدي حط صوره امك بقبرا مشرحطتن و ماشيه""",Lebanese
831,"""و رجاع سالني ليش ما بدي حبن اشرفالناس""",Lebanese
832,"""كنت قايله ما بقا بدي رد علي مشاكل وخاصه مشاكل فانز وطنش بس الصراحه مستوي الزباله هون صايره لا تحتمل وشايفه ناس معقدي ومريضه بس متل هيك نو واي مبروك يا كل يوم عم تكبر عقدتكن من نوالالزغبي اكتر تفه""",Lebanese
833,"""انا مصري ببيروت بدي زوجين او بنت تتناك خلفي""",Lebanese
834,"""كيف بدي اشتري باقات سكايب بدون ما يغلق الحساب""",Lebanese
835,"""بدي بنات تتناك من طيزها انا ببيروت لبنان""",Lebanese
836,"""بدي كلبات وخدامات من بيروت""",Lebanese
837,"""بدي كلبات وخدامات من بيروت او قريبه من بيروت""",Lebanese
838,"""حاحكيك علخاص بدي استشاره للسياره بس لحظه في تكلفه شي علسءال""",Lebanese
839,"""كلمني خاص بدي انيك زوجتك""",Lebanese
840,"""انا فحل مصري بدي خدامين وشراميط انا ببيروت""",Lebanese
841,"""غير انك تتجاهل عن عمد مفاهيم تخص الارتداد واضعا رشدي بخانه واحد ذو راي بعدني علي انتظار توضيح شو هو العالم الاسلامي الذي تشير اليه ومن يمثله في الحالتين عن جد بدي اعرف""",Lebanese
842,"""والله وانت قلتيها كنت محتاره شو بدي اطبخ اليوم يا ريت كل يوم تبعتيلي اسم طبخه بكون ممنونه""",Lebanese
843,"""ه معك حق اللي بدو ينزل صور شي طيب بدي يوزع عالحاضرين شو هيك حرقصه وبس يسعد اوقاتك""",Lebanese
844,"""جينا ناكل الحليب والكورنفليكس بالشوكه صارت وبعدنا قاعدين خيي انا ما بدي اتعايش""",Lebanese
845,"""من اكتر الاشيا ل بكرها بحياتي هو الخصر الواطي كل شي عندي خصر عالي ف اذا بتتغير الموضه بصير بدي خزانه جديده دخيلك بلاها""",Lebanese
846,"""هاي فيديو جبران باسيل و ارسلان تمثيليه اولا وقت قصه بشاره مع البطرك الصفير الصوت كان كتير غميق اما هون الصوت كتير واضح ثانيا بالعاده التسريب بضر بس هون بيخدم باسيل ويلي بدي يقول غير هيك بكون ما بيعرف انه قوه باسيل هي الاعلام وبس والاعلام عم ياكل راس اللبنانيه للاسف""",Lebanese
847,"""لازم المغتربين عتويتر هني يستلموا ملفات الفضايح والفساد ويسموها زي ماهي نحنا هون مافينا مافينا مافينا نسمي و الحزب وما سمي اني بدي سمي ‼‼""",Lebanese
848,"""سبقتني جهاد وانا ما كنت عرفان شو بدي سمي كشفه حالن""",Lebanese
849,"""انا ببيروت كلمني بدي انيك طيزك""",Lebanese
850,"""ما بدي مصاري صحه وبس""",Lebanese
851,"""اكثر تغريده مضحكه قبل النوم ع اساس الاعلام في لبنان اسس بنيته بعيدا عن المحاصصه والتبعيه والاستزلام وانقضت عليه الدينوصورات لتهدده في مستقبله بدك تشتغل اعلام بدك تكون تابع وزلمه فلان وبس وبلا طق حنك لان بدي نام""",Lebanese
852,"""لاقي جاري بس بدي ياه تمنيتشيمره""",Lebanese
853,"""لانوا اليسا عاملتلي فولو ما بدي فوت بجدالات كرمالها""",Lebanese
854,"""ما كان بدي اعرف هلق بطل فيي شوفا غير خالتيفرنسا""",Lebanese
855,"""دخيلك كل شي بس ما تنزلي عايشه وحدا بلاك ساعتها انا بدي علق""",Lebanese
856,"""بدي انيكها""",Lebanese
857,"""وينها ما شفتها اناكيف يعني بتحطي صوره وانا ما بشوف ما بدي بدي شوفها""",Lebanese
858,"""دخيل عرضك ما بدي تكون زبالتي بوصطه ل""",Lebanese
859,"""يا ريت بس بتعمليلي لايك عالتويت ما بدي اكتر من هيك انا من زمان بحبك كتيير وزاد حبي الكبتمنالك كل التوفيق بحياتك""",Lebanese
860,"""بدي انيك امك""",Lebanese
861,"""بدي غنيه تقطع القلب تشلخ الامعاء تكرسح الرجلينالعنزه كبت سطل الحليب بعد ما حلبتها""",Lebanese
862,"""بدي انيك هالطيز""",Lebanese
863,"""بدي انيك طيزك""",Lebanese
864,"""تعال بدي انيكك""",Lebanese
865,"""من فتره كنت بدي اشتري عوينات عجبني كتير قزازته منقطين وملونين بتشوف فيه عادي""",Lebanese
866,"""عندك هلقد اعداء معقول عن جد هني بلا ذوق ولا واحد قلك بدي حبك يقطع عمرون قطع بلا ذوق""",Lebanese
867,"""بدي احكي مع هيدا زكرنسبرغ يعملك دولار عا كل ساعه حضور""",Lebanese
868,"""مش عم بصدق انو فقدت جزء من تاريخ لبنان عرفتو عن قرب بالجامعه لما كنت طالب عندو وعرفتو كاخ وصديق غالي علي قلبي زواجه كان فرحه حياتنا كلنا ولما خلق ادونيس الزغير من كم شهر كانت الحياه عندو ما الها وصفكيف بدي ودعك او انعيك مني قادر استاذي وصديقي انطوانالخوريحرب الي اللقاء""",Lebanese
869,"""بقول بدي حبك بتقومي بتنزلي تويت ما بيقطع برجع بقول يا صبي طول بالك وعد للعشره قبل ما تتورط""",Lebanese
870,"""لا مبين اجنبي واخر همي كميل انا بدي ممرضه بدل ما اعمل ممرضه بونجورك""",Lebanese
871,"""صراحه تعبت انا واحكي وابعت صور عن هالنقطه بالذات من سنين وصرت زامط من كذا حادث هونيك ويجي الرد للتواصل يرجي الاتصال علي الرقم التالي ليش بدي اتصل مادام الدليل والشكوي موثقه هون وبعدو الوضع علي حالو ع شوي رح اتبرع جيب بلوكات باطون لحالي وحطن هونيك""",Lebanese
872,"""شو معش نحضرو بدي سجلو تسحيل اذا مشغول واسرد عليه""",Lebanese
873,"""هاهاهاها طمطم اشتقتلك بدي شاي""",Lebanese
874,"""الحمد لله يا رب كتر خير الله والله كل ما كنت بدي انتقدو ثول بحب ال ولا لازم اتحمل هلق صار فيي اخد راحتي""",Lebanese
875,"""نوال القلب والعيون وماحدا بيقدر يعيش بلا قلبو وعيونو ونحنا ازا حدا بدو يقرب صوب قلبنا يجرحوا او يقرب صوب عينينا ياذيهن مش رح نسكت ونقعد نتفرج نوالالزغبيخطاحمر""",Lebanese
876,"""ازا عملت عيك بتخسر لاتو روتانا بتاخد نسبه من الحفلات""",Lebanese
877,"""ازا هيك و ما حدا طالب تغريدتا""",Lebanese
878,"""طيب روح زبط وضع امك حبي واقل شي يكون هيك منطقك زباله ازا فان ل هيفاء يلا كده باي يا هبيله""",Lebanese
879,"""ازا مستواك بهل قرف كيف بدي احكي معك يا زباله هيفاء هيك بتعلمك تحكي""",Lebanese
880,"""طب ازا عم تقليلي طقي موتي كيف بعد بدي ناقشك انت كمان ناقصني ولاد""",Lebanese
881,"""متفوقه علي نوال يعني ازا انتو عم تقارنوا هيفاء ب ام كلثوم خبرني كيف الواحد بدو يناقشكن اسكتيالساني""",Lebanese
882,"""طب ازا غم تقارني هيفاء ب ام كلثوم كيف بدك ياني بعد رد علي غباءك""",Lebanese
883,"""انك مريضه ازا بدن يحضروا هيفاء اكيد كرمال يتفرجوا علي الاستعراض بس مين هيفاء شو بتعمل بتهز شوي عل مسرح وبتنشز شوي""",Lebanese
884,"""لما تقلل من قيمه فنانتنا و تسالنا ازا اصلا هيي فنانه منعتبرها بلبنان و هيي اصلا اسطوره بالفن مش بس حكي ورد عليك هيك المره الجاي بالسرمايه علي وجك البشع""",Lebanese
885,"""اولا سدي بوزيك يا طنط و ما كتير تنحمقي ازا فنانتك بتطلع الانوثه اللي انت فاقدها علي فشل فنانتك قللدت هيفا و علي راس السطح و النتيجه كانت البوم فاشل ما حدا سمع فيه و تقليد ما بعده تقليد ف اخرسي اظبط و اتضبضبي""",Lebanese
886,"""اقسم بشرفي و بقطع ايدي من المفصل ازا مش حساب الليبانيز كراشز ل وسام السو ويك و ابن الجيران""",Lebanese
887,"""ليش الواحد ازا حس حالو عم ينظلم ما لازم يحكي""",Lebanese
888,"""اكيد بتقدر بس المشكله انو روتانا بتملك ارشيفها كلو يعني ازا حبت بتقدر تمنعها تغنيهن بالحفلات""",Lebanese
889,"""ما منعرف شو في ت نقول ازا اصعب او اقل حبيبتي""",Lebanese
890,"""بس كمان مش دايما بدنا نفتش عظروف الشخص و نبررلو خاصه ازا هالشخص فنان لازم يقدر الناس اللي بتحبو و ما يصدن بحركاتو لان هني كمان ممكن ينجرحو كتير اما التنمر مش حلو بشكل عام عمين ما كان بس كلنا نستفز و منحكي اوقات قصص عن رده فعل""",Lebanese
891,"""ما حدا من جماعه نضال صار حدا مهم ازا هي وبطلت مهمه""",Lebanese
892,"""علي قلبك حبيبتي شكرا بس انا بحبها كل وحده لحال ازا فكرتي تعزميني يعني""",Lebanese
893,"""ازا ارادوا اي""",Lebanese
894,"""بعيدا ازا كانت بروباغندا او لا مش مقنع موضوع شركه الاتصالات لانو من اقل من شهر عملت دعايه لشركه اتصالات وانتي بتعرفي انو اكيد في عقد يعني ما فيها تعمل دعايه لشركه تانيه الا بعد كم سنه""",Lebanese
895,"""وهيفا كانت لازم تشكر واءل ازا هيك تعتير وين قالت هيدا الشي""",Lebanese
896,"""انت يا طبل ازا بترقص بتجمع عالم اكتر يا برميل""",Lebanese
897,"""و شو خص المسيحيه مش لازم تركع ازا كارلوس معود عالركع يلعن اخت الحشيشه خاربه البلد كل حشاش و لا التاني""",Lebanese
898,"""ليش لا ازا كان حدا منيح ومابيدخل بيلي مابيخصو وبيحترم حالو ويحترم الناس""",Lebanese
899,"""حبيبه قلبي يا مريومه صدقيني كتير فقدتلكن انا و فاطمه و كل يوم بسالها ازا رجعتو شتقتلكن كتير هلق نور تويتر حبيباتي""",Lebanese
900,"""اي والله الله ازا احب عبده حبب خلقو فيه هيدي دايما بامن فيها""",Lebanese
901,"""الايشارب مش غالي بس ازا كان حرير غالي و النقشه بتكون مميزه و كتير بكون هدل و ناعم و خفيف و الوانو مميزه""",Lebanese
902,"""اي شفتو هيدا التويت بس عملت حفله اكيد يمكن ب ابها ازا مني غلطانه""",Lebanese
903,"""اي ازا تركتن ممكن""",Lebanese
904,"""اي صح سمعت هيك شي بس ازا هي بقيت معن اكيد ما بيمنعوا الملحنين يتغاملو معا مش من مصلختن""",Lebanese
905,"""ازا ماضيه عقد ما فيها اكيد بس يخلص العقد بيصير فيها""",Lebanese
906,"""حمله اعلانيه للالبوم الجديد لا اكثر ولا اقل وفي حال كان الخبر صحيح رح تمحي كل شي عملتيه اوعي تكوني مفكره التاريخ رح يتذكرك ازا وقفتي هلق عندك بصمه بالفن بس مش لدرجه تضللي موجوده دايما مسيرتك بعد بدها شغل اقل شي شي سنين بعد وهولي ال السنين هني الاهم اليسا""",Lebanese
907,"""حبيبي ازا خلاف مع روتانا فيها تنتح لحالها او مع اي شركه عادي""",Lebanese
908,"""اعتزالاليسا ازا كانت فعلا اخده هالقرار اشك انها تستمر فيه فوره غضب من امر ما وسوف تنتهي انا اكيده""",Lebanese
909,"""كيف الواحد ما بدو يعشق القاهره ازا ملكه البوب نوالالزغبي عم تغني ب صوتها الذهبي للقاهره الله لا يحرمنا هالصوت""",Lebanese
910,"""لا ليه بدي ازعل بس للامانه ازا اغاني نجوي ما بتعلم مين بعلم""",Lebanese
911,"""ما هو الشب ازا بدو ينام بطل من ورانا انطوش""",Lebanese
912,"""عم بتفاجا برده فعل بعض الفنانين علي بعض الفانز ازا عطوا ملاحظه ولو بسيطه وبكل محبه واحترام ومن ميل تانيه بيصيروا باقي الفانز كمان يهاجموهم وكانهم ارتكبوا خطيءه كبري وخوفا من غضب الفنان يا عالم لازم تفهموا انو الفنان بلاكم ما بيسوي شي حاج تمسحوا بكرامتكم الارض ارتقوا""",Lebanese
913,"""ازا انكسر""",Lebanese
914,"""اي بغض النظر ازا صح او لا انا قصدي ما نعمم ومش كل شي منشوفو نصدقو واصلا عملا الداخل اكتر من اللي هونيك بكتير""",Lebanese
915,"""لا شفتو بصوره علي عارضه الازياء رح شزف ازا بلاقيها""",Lebanese
916,"""بغض النظر ازا في كم واحد هيك شو دخل لحتي تعمموا بعيدا من السياسه في ناس ما بتحبا عادي زبالمقابل في كتار ضد سياستها وبيحبوعا حبيبتي عنا بلبنان كتير عادي بتلاقي بالبيت الواحد ناس مختلفين سياسيا يعني الموضوع ابسط بكتير من ما بيفكروا اللي عايشين بالخارح""",Lebanese
917,"""تصوري ميرا كل ما بدي اعمل معاملي بدي اطلع عبيت الدين من بيروت خاصه اذا مستعجل عليها هلق صحيح مشوار حلو بس بالشتي مثلا بهدله منيح عندي شخص بحضرلي كل شي قبل ما اطلع""",Lebanese
918,"""لكن العثمانين عملوا شي منيح للبنان""",Lebanese
919,"""قصده عملنا فيه كل منيح كما جاء الرد""",Lebanese
920,"""برافو زياد عذبتو حالكن منيح لقيتو شي تعملو""",Lebanese
921,"""يا خيي لبنان اجمل بلد بالكون منيح بس اذا عم نموت كل يوم باحلي بلد شخصيا اذا قادر بفضل عشلي يومين ببلد ممكن اعرف قيمه الانسان فيه وبتنازل عن شويه جمال وبكسب صحه وحياه""",Lebanese
922,"""اشرف من الجلوس بحضن الخليجي صحتين علي طيزكن بينطح منيح""",Lebanese
923,"""منيح ما عمد كبده بالجين""",Lebanese
924,"""ما ع اساس رجع للتدريب وصار منيح وح يلعب الاحد""",Lebanese
925,"""يا استاذ بيترو تحيه الك بس تذكر منيح هاو كلون يللي ذكرتون كمان كانو معارضين ميشال عون مع حفظ الالقاب ومتل منك شايف فا انت بلبنان مافي شي بياثر برغم كل هالاصوات مع تحياتنا""",Lebanese
926,"""وصباحك ام علوش كتر خيرو طول بالو علينا منيح اليوم ه""",Lebanese
927,"""صراحه بكره الصفه لي بياخد محل سيارتين يصف منيح و خلي غيره يصف كمان""",Lebanese
928,"""منيح الميكروفون منن و فين و بقلب بيتن والا كانو فلقونا بكمين جديد كمينالميكروفون كمينعمين يا ماما ضحاياالميكروفون""",Lebanese
929,"""الحمدلله اليوم المود منيح""",Lebanese
930,"""ه منيح اللي اعترفت""",Lebanese
931,"""وحياتك اقري منيح يمكن يكون شخص مش البلد بكاملوا""",Lebanese
932,"""منيح ذكرتني""",Lebanese
933,"""اوكي منيح""",Lebanese
934,"""منيح ما عمل مجزره""",Lebanese
935,"""منيح اللي غردت اليسا بشي فني حتي ينسي البعض الحديث عن واءل بشي مش فني احيانا هم بينسي هم قراراليسامرفوض""",Lebanese
936,"""خنجر وخاصره بحر ‼ منيح ما جابو سيره عشتروت""",Lebanese
937,"""ليش لا ازا كان حدا منيح ومابيدخل بيلي مابيخصو وبيحترم حالو ويحترم الناس""",Lebanese
938,"""نقو منيح تا ما تنققو بعدين""",Lebanese
939,"""حتي لو شرط واحد منهم زوج او زوجه بشي معين ووافق الطرف الثاني مابيحق الاخلال بالعقد الا بالتودد فالمساله قانونيه ماهي من نسج الخيال فكل صبيه وشب يفكرو منيح في الاصلح الهن قبل الموافقه""",Lebanese
940,"""الشرط طالما حتوافق عليه من البدايه ما يحق لها الرجوع عنه فمن الاساس تفكر بالشروط منيح""",Lebanese
941,"""صرعتونا حقوق مراه و ضد العنف كل وحده تاخد وقتا و تنقي منيح الجحش اللي بدا تكفي حياتا معو مش كل مين سبق دق الباب""",Lebanese
942,"""اه اه فكر فيها منيح""",Lebanese
943,"""يعني هي لو وقفت حدا و كتبتلا تويت ما بيعجبا بدا نجوي تنزل لعندا شخصيا بس بكل الاحوال منيح اللي مشغلتك ام روني ولله عاطي طابع كوميدي بامتياز عالتويتر""",Lebanese
944,"""منيح لحقت حالك قبل م يكمشك كونان""",Lebanese
945,"""سلامه قلبو معافي انشالله لنجي نتغدي كرمال ما تضلو اربعه ايام نفس الاكله نعمل منيح""",Lebanese
946,"""يعني اليوم احتراق ال بجبيل بلبله عن موضوع التجنيدالاجباري اعتزال اليسا الدنيا عجقه من بعد العيد يعني منيح الطقس شوي شتوي لتحسن النهار""",Lebanese
947,"""بعرف منيح الحقاءق ما تهكل الهم""",Lebanese
948,"""عيني مش ناطرين حضرتك تيجي تعلمنا شو قدم رفيق الحريري للبلد منعرف منيح شو قدم واديه كان عظيم بحق هالبلد رجل العلم والاعمار بكل البلاد العربيه مافي متله""",Lebanese
949,"""حب مرضت ذهبت للطبيب طلب منا ترجع بعد اسبوع رجعت وكلو منيح بعد اسبوع رجعت بلا موعد جلست ترتجفجلس امامها ومسك يديها وسالها ليه اجت هيمنذ رايتك وانت لا تفارق خيالي هووانتي كمان ابتسمت وماحست انها بين ذراعيه فجاه ابتعد وقال مستحيل انا متزوج خرجت مسرعه تبكي حب من اول نظره""",Lebanese
950,"""ما هرب لا و لا شي عشرين مره ليش انت من وين بتعرفو يا طبل مفخوت سالنا لالنا عنو و عن خبارو وحيات وبرات شواربك عمو لو نحنا مصدقينو لليوم كان معو اكبر كتله و اكتر شعبيه بالشرق الاوسط بس الناس بتعرفوا كتير منيح منيح هو متكل عليكن بيفنص و بيهوبر و انتو بتصدقوا""",Lebanese
951,"""مش نايمه منيح شكلك تعي اشربي قهوه تعي""",Lebanese
952,"""منيح الي بتعرفي""",Lebanese
953,"""ي بعدك عايش منيح لفي حزب الله ليطلع صوتك والا اصلا شو فايدتك""",Lebanese
954,"""المهم اضغطيه منيح منشان ما ينفس قصدي المرطبان قطعيلو نفسو""",Lebanese
955,"""اذا تجوزت قبل يوم القيامه بكون منيح""",Lebanese
956,"""منيح ما الكل بتيار المستقبل عم يتذمر انه جبران حاكم سعد""",Lebanese
957,"""حيوانه و انت نقي لبوه غزاله يمكن يكون شي منيح""",Lebanese
958,"""عندي حل منيح حزب الله يشتري التلفزيون مع الرخصه ويدفع مستحقات الموظفين ويغير الاسم الي تلفزيون مستقبل لبنان صدقوني اذا الحزب بقدم هالعرض عيب علي حتي يجي عرض خليجي بعشر اضعاف يلي بدو يدفعو الحزب خلي يعملها الحزب مقابل عشره بالميه من الصفقه والكل بيربح فكروا فيها عن جد انا عبقري""",Lebanese
959,"""انا صار عندي قلق لان الشخصين مش قلال وبخوفوا وخصوصا الشخسعد ما حدا بيعرف شو عم يخطط ولازم ننتبه منيح""",Lebanese
960,"""السنه الماضيه متل هالوقت كانوا كتير طوال وقصرتن منيح رجعت قصيتن مرتين بس ليرجعوا طوال متل قبل بدهم شي سنه وشوي""",Lebanese
961,"""منيح الي ما حطولهن لوغو ال كانوا فلو من لبنان""",Lebanese
962,"""ما بعرف اذا متهجم علي هيفا عفكره مش هيدي فكرتي انا عم بحكي عن اسلوبوا الاستفزازي اللي قدر يشهروا بغض النظر عن مين و عم شو كتب تلات رباع اراءوا ما بوافقوا فيها بس هوي كشخص منيح""",Lebanese
963,"""ما قريتي منيح""",Lebanese
964,"""منيح اللي مش رح اتربح جميله الغريب يلا روح واتساب""",Lebanese
965,"""مش عاجبك للتويت ميك تسكر الباب وراك مع السلامه حكينا عل الكل بس لو بتعرف تقرا منيح كنت عرفت ليش كتبت هبدا التويت بل الذات الهيءه انك فعلا خشيم""",Lebanese
966,"""منيح هيك""",Lebanese
967,"""وقعت وما حدا سما عليك ه يلا منيح الاستقرار الله يباركلك ونشفلك عريس""",Lebanese
968,"""ايه منيح عم تسكت حالك بحالك برافو""",Lebanese
969,"""ليكي يا جاره فاتن ما دخلك فيها وين ما بتروح ووين ما بتجي انقبري نضبي جوا وما بقي تراقبيها احسن ما تموتي بهمك منيح هيك يا عيوني""",Lebanese
970,"""يعني في ناس قرفانه من الوضع السياسي والحراميه والنصابين ولازم نعرف شي كمان انو هيدا مش منيح للبلد""",Lebanese
